feature,treated_mean,matched_control_mean,standardized_mean_difference
age,40.218868435300486,40.296155928532755,-0.007045630432731849
income,83930.92876691931,83944.33026935572,-0.0002737852281193217
tenure_months,69.64740119112074,70.15931239848403,-0.013126590261866584
product_count,2.771792095289659,2.763400108283703,0.006530131387885476
transactions_30d,17.99580400649702,17.886437466161343,0.025591703528029676
app_sessions_30d,8.828505684894424,8.805630752571737,0.007661753495021457
avg_balance,17957.681143746617,17646.192268543586,0.01612002305549498
complaints_90d,0.20939361126150513,0.21277747698971305,-0.007831036152211226
salary_credit,0.6445587439090417,0.6442880346507851,0.0005654855242955669
card_utilization,0.37036652680021653,0.3734515024363833,-0.01689280331000876
recent_inactivity_days,23.59095831077423,23.531537628586896,0.0038658799519435015
balance_change_90d,0.0015136978884677853,0.0002747834325933942,0.006845060773699915
